count,versions,keysPercent,insertLs,insertTPs,rangeSearch1SkipListLns,rangeSearch1MerkleLns,rangeSearch3SkipListLms,rangeSearch3MerkleLms,rangeSearch4SkipListLms,rangeSearch4MerkleLms
200000,1000,0.1,0.0468897,4265329.059473616,0.0,0.0,0.0,0.0,0.0,2.5247
200000,1000,0.1,0.0466989,4282756.124876603,0.0,0.0,0.0,0.0,0.0,1.972
200000,1000,0.1,0.0484409,4128742.446981786,0.0,0.0,0.0,0.934,0.0,2.3881
200000,1000,0.1,0.0438479,4561221.860111887,0.0,0.0,0.0,0.9397,0.0,2.0035
200000,1000,0.1,0.0711837,2809631.980355053,0.0,0.0,0.0,0.0,0.0,1.9996
200000,1000,0.1,0.0504154,3967041.8165877885,0.0,0.0,0.0,1.0042,0.0,2.0194
200000,1000,0.2,0.046264,4323015.735777278,0.0,0.0,0.0,1.0011,0.0,4.603
200000,1000,0.2,0.047367,4222348.892689003,0.0,0.0,0.0,1.0002,0.0,5.4851
200000,1000,0.2,0.0439878,4546715.225585276,0.0,0.0,0.0,1.0,0.0,4.7126
200000,1000,0.2,0.0540814,3698129.116479973,0.0,1003900.0,0.0,1.0034,0.0,9.0473
200000,1000,0.2,0.043304,4618510.992056161,0.0,1000800.0,0.0,0.0,0.0,5.6225
200000,1000,0.2,0.0508092,3936295.001692607,0.0,0.0,0.0,0.9956,0.0,4.4222
200000,1000,0.2,0.0489392,4086703.50148756,0.0,0.0,0.0,2.0096,0.0,3.9919
200000,1000,0.2,0.051333,3896129.1956441277,0.0,0.0,0.0,1.0138,0.0,4.7239
200000,1000,0.2,0.0489364,4086937.330902968,0.0,0.0,0.0,2.7395,0.0,4.9701
200000,1000,0.2,0.0611777,3269165.0715865423,0.0,0.0,0.0,0.0,0.0,4.038
200000,1000,0.3,0.0522213,3829854.8676497904,0.0,0.0,0.0,2.7202,0.0,8.293
200000,1000,0.3,0.0481591,4152901.528475407,0.0,0.0,0.0,1.8967,0.0,7.5042
200000,1000,0.3,0.0513426,3895400.700393046,0.0,0.0,0.0,1.9989,0.0,10.0331
200000,1000,0.3,0.0482762,4142828.1430601417,0.0,0.0,0.0,3.0564,0.0,6.4879
200000,1000,0.3,0.0505786,3954241.517163385,0.0,0.0,0.0,2.4805,0.0,7.0235
200000,1000,0.3,0.0527272,3793108.6801499035,0.0,0.0,0.0,3.1116,0.0,6.7178
200000,1000,0.3,0.0474822,4212104.7466208385,0.0,0.0,0.0,3.0025,0.0,8.5484
200000,1000,0.3,0.0517812,3862405.6607417366,0.0,0.0,0.0,3.5096,0.0,8.0106
200000,1000,0.3,0.0526844,3796190.1435719114,0.0,0.0,0.0,2.0008,0.0,7.5338
200000,1000,0.3,0.0519284,3851457.00618544,0.0,0.0,0.0,1.9991,0.0,10.5068
200000,1000,0.4,0.0437019,4576460.06237715,0.0,0.0,0.0,4.5983,0.0,9.5055
200000,1000,0.4,0.0574399,3481900.2122218176,0.0,0.0,0.0,5.645,0.0,12.5082
200000,1000,0.4,0.0493004,4056762.2169394162,0.0,0.0,0.0,5.5142,0.0,9.618
200000,1000,0.4,0.0462889,4320690.273478091,0.0,976300.0,0.0,4.5336,0.0,10.5109
200000,1000,0.4,0.0455868,4387234.901331088,0.0,0.0,0.0,4.9781,0.0,13.6215
200000,1000,0.4,0.0537035,3724152.0571284923,0.0,0.0,0.0,5.8856,0.0,9.8385
200000,1000,0.4,0.0481983,4149523.9458653107,0.0,0.0,0.0,4.0006,0.0,9.353
200000,1000,0.4,0.0465257,4298699.428487911,0.0,0.0,0.0,4.9991,0.0,12.0363
200000,1000,0.4,0.046027,4345275.599104874,0.0,0.0,0.0,4.5568,0.0,8.6334
200000,1000,0.4,0.0483477,4136701.435642233,0.0,0.0,0.0,4.5333,0.0,11.6054
200000,1000,0.5,0.0496263,4030121.125290421,0.0,0.0,0.0,8.5502,0.0,15.5104
200000,1000,0.5,0.0534326,3743033.2793088867,0.0,0.0,0.0,7.4175,0.0,12.7139
200000,1000,0.5,0.0676823,2954982.3218182595,0.0,0.0,0.0,11.4658,0.0,10.9105
200000,1000,0.5,0.0506777,3946509.016786476,0.0,0.0,0.0,7.9876,0.0,13.4442
200000,1000,0.5,0.0475071,4209897.046967717,0.0,0.0,0.0,8.0383,0.0,16.4601
200000,1000,0.5,0.0533792,3746777.7711168393,0.0,0.0,0.0,7.7119,0.0,11.7247
200000,1000,0.5,0.045578,4388081.9693711875,0.0,0.0,0.0,7.7008,0.0,15.5085
200000,1000,0.5,0.052197,3831637.8335919688,0.0,986000.0,0.0,7.7091,0.0,15.2142
200000,1000,0.5,0.0446318,4481109.8812954,0.0,1047500.0,0.0,6.6777,0.0,11.7464
200000,1000,0.5,0.0482497,4145103.492871458,0.0,0.0,0.0,7.614,0.0,11.8231
200000,10000,0.1,0.0354819,5636676.7281346265,0.0,0.0,0.0,0.0,0.0,3.0003
200000,10000,0.1,0.0641825,3116114.2055856343,0.0,1033000.0,0.0,0.0,0.0,2.53
200000,10000,0.1,0.0355728,5622273.197499213,0.0,0.0,0.0,1.504,0.0,2.1059
200000,10000,0.1,0.0484371,4129066.356160877,0.0,0.0,0.0,1.0011,0.0,1.0537
200000,10000,0.1,0.0480873,4159102.299359706,0.0,0.0,0.0,0.982,0.0,2.5084
200000,10000,0.1,0.039255,5094892.370398676,0.0,0.0,0.0,0.0,0.0,2.5249
200000,10000,0.1,0.0364279,5490297.2721458,0.0,0.0,0.0,0.0,0.0,1.9984
200000,10000,0.1,0.0395648,5054998.382400518,0.0,0.0,0.0,0.0,0.0,2.5303
200000,10000,0.1,0.0494871,4041457.2686619344,0.0,0.0,0.0,0.0,0.0,1.0178
200000,10000,0.1,0.0368788,5423169.951299934,0.0,0.0,0.0,0.0,0.0,1.9913
200000,10000,0.2,0.0389629,5133088.142823044,0.0,0.0,0.0,0.9978,0.0,4.7217
200000,10000,0.2,0.0405609,4930857.056919348,0.0,0.0,0.0,0.9909,0.0,3.9991
200000,10000,0.2,0.0369361,5414756.836807352,0.0,0.0,0.0,1.975,0.0,5.7588
200000,10000,0.2,0.0357297,5597584.082709902,0.0,0.0,0.0,1.0525,0.0,4.626
