count,versions,keysPercent,insertLs,insertTPs,rangeSearch1SkipListLns,rangeSearch1MerkleLns,rangeSearch3SkipListLms,rangeSearch3MerkleLms,rangeSearch4SkipListLms,rangeSearch4MerkleLms
200000,100,0.1,1.7408021,114889.5672862527,1000700.0,0.0,0.9988,0.0,12.1699,0.0
200000,100,0.1,1.4022189,142631.08277887283,0.0,0.0,0.0,0.0,3.9997,0.0
200000,100,0.1,1.3897806,143907.60671144785,0.0,0.0,0.0,0.0,2.0031,0.0
200000,100,0.1,1.4121583,141627.18159855026,0.0,0.0,0.0,0.0,2.998,0.0
200000,100,0.1,1.3814084,144779.7769291109,891900.0,0.0,0.0,0.0,1.5075,0.0
200000,100,0.1,1.3544947,147656.53937221016,0.0,0.0,0.0,0.0,2.1899,0.0
200000,100,0.1,1.3431496,148903.74087890136,0.0,0.0,0.0,0.0,1.7961,0.0
200000,100,0.1,1.3584214,147229.71825973885,0.0,0.0,0.0,0.0,4.0011,0.0
200000,100,0.1,1.2857008,155557.18717760773,904600.0,0.0,0.0,0.0,1.5042,0.0
200000,100,0.1,1.3184377,151694.6913760127,0.0,0.0,0.0,0.0,2.0031,0.0
200000,100,0.2,1.3046013,153303.54185604444,1006100.0,0.0,0.0,0.0,1.9944,0.0
200000,100,0.2,1.3478169,148388.10820668595,0.0,0.0,0.8835,0.0,2.0419,0.0
200000,100,0.2,1.3837201,144537.90184879155,0.0,0.0,0.9899,0.0,2.0989,0.0
200000,100,0.2,1.2509254,159881.63642692042,0.0,0.0,1.157,0.0,1.8407,0.0
200000,100,0.2,1.3942333,143448.01547918844,1202200.0,0.0,0.0,0.0,3.0014,0.0
200000,100,0.2,1.2613386,158561.705794146,949500.0,0.0,0.0,0.0,3.0018,0.0
200000,100,0.2,1.3495496,148197.59125563077,0.0,0.0,0.8878,0.0,1.9999,0.0
200000,100,0.2,1.3457346,148617.71407229925,995200.0,0.0,0.0,0.0,3.0595,0.0
200000,100,0.2,1.3644319,146581.15219968106,0.0,0.0,0.0,0.0,3.0035,0.0
200000,100,0.2,1.2847947,155666.89370683115,0.0,0.0,0.9992,0.0,5.0035,0.0
200000,100,0.3,1.2758185,156762.1099709716,0.0,0.0,0.9501,0.0,3.0525,0.0
200000,100,0.3,1.232456,162277.5985511856,0.0,0.0,1.0118,0.0,2.5232,0.0
